name,mz,rt,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M561T41,561.292420382287,40.8315,11662.23375,10396.8257105263,9313.45271428572,6504.064
M561T99,561.486305378496,99.153,528.331666666666,1246.92857142857,1301.83571428571,1244.73142857143
M562T1142,561.862320864253,1142,5356.60666666668,4512.10374999997,5195.4448,5000.9388
M562T132,562.155483603089,132.4755,2878.2270967742,2330.696875,1541.6052,2025.98384
M562T41,562.29505370309,40.7015,3836.78076923077,3795.486,4644.54,2495.872
M563T1102,562.857584352794,1102.205,292.545000000003,716.767000000005,250.649230769218,70.239999999986
M563T1142,562.858621858099,1142.31,7539.82552631579,7803.26199999994,5607.8009302326,7258.5863492063
M563T36,563.051228751467,35.7785,915.49875,778.886,440.44,212.513666666667
M563T786,563.124688617268,786.0515,10487.016,12333.4302857143,14413.1401363637,13698.9455909091
M563T40,563.273779660505,40.328,6066.94595652174,7051.18666666667,4224.61485714286,3205.36333333333
M564T926,563.995218456205,926.0535,1063.24826086956,1036.78892857143,1260.37227272727,801.411909090907
M564T786,564.126538365758,785.837,3090.49233333334,3039.49120000001,3867.26395652174,3493.17578947369
M565T36,565.032102303897,35.8415,1560.97142857143,1379.72127272727,1019.69266666667,548.370101010101
M565T807,565.048277645673,806.518,4843.00189999999,6235.06339999999,6347.59270588232,6064.51729411762
M565T745,565.09151485902,744.6845,3945.80156249999,4977.72951851852,4523.26977272728,4689.59700000001
M565T590,565.092845713773,589.611,2946.84953846154,2185.62260869564,2007.816,1172.66105263157
M565T636,565.108773636079,635.92,906.647099999998,818.388999999997,1092.64272727274,1190.44275
M565T943,565.114905865959,943.212,1726.06716666667,3236.90422018348,3229.09180645161,3214.37762295082
M565T786,565.122956839634,786.0515,1934.78700000001,2230.45333333333,2247.22680000001,2484.02004
M566T950,565.606862606517,950.2215,3865.70311111109,4382.96521276596,4084.65302222222,4765.02325000001
M566T36,566.03379829952,36.247,986.520600000001,959.832714285715,579.672875,348.323625
M566T215,566.03303456466,215.3975,3254.3607027027,2542.44423529412,2550.20840425532,2442.55083333333
M566T807,566.052076398656,806.871,1122.1298,1274.72142857143,1411.11272727272,1388.631
M566T743,566.09544028622,743.304,797.749812499999,982.132666666671,1162.24615384615,1403.56790909091
M566T957,566.099697188959,957.04,7939.42724489797,5155.33309090909,5163.83085714288,8059.90393421052
M566T814,566.124824951805,814.0005,19924.394,25193.5825555556,24868.5628333334,24451.4746666667
M567T957_1,566.600511094563,957.348,3677.43037974684,4339.2633076923,2731.42348484849,2991.10933333333
M567T37,567.010200436105,36.9515,2516.292,2549.366,2513.96825,1272.17071428571
M567T419,567.088719038728,419.1535,712.641857142856,659.588,988.821789473686,815.34
